时装豪礼,Hào Lễ Thời Trang
我也不能等了，因为，此时的他们一定又在夺走这片大陆上的生命……,"Tôi không thể đợi thêm được nữa, bởi vì, bọn chúng hiện nay nhất định lại đang chiếm đoạt mạng sống trên lục địa này..."
"    特蕾莎睁开了眼睛，发现自己坐在一个荒蚀的王座上，四面寂然。
    这是又一个噩梦吗？她虚弱地扶住额头。在上一个噩梦里，长着巨大翅膀的恶魔们掳走了她。
    “你醒来了，女王大人。”王座之下，一个陌生男人从黑暗里走出，对座上之人恭敬地说道。
    可我……“女王？”特蕾莎重复着这个空洞的词。她从来不是什么女王，只是一个普通的女人。
    她记起自己先前还在麦卡尼兹的家中，等着丈夫归来。希尔……他当时正带领正序执法队执行每日的巡逻任务……丈夫向来把执法队的责任看得比家庭重要。
    所以当恶魔袭击自己时，他没有在身边。
    “是的，女王。”又一个声音说道。特蕾莎这才发现，黑暗中其实站着许多人。可她一个都不认识。
    “你醒了，却还没醒。”他们说，“因为你还没有记起自己的身份，记起自己的真名。”
    特蕾莎想要站起来，从王座上逃开，逃回家中。可那些人的话却不知怎的，直令她头痛欲裂，寸步难行。
    “苏醒吧！”他们齐声高呼，走上王座的阶梯，聚在特蕾莎的周围。
    他们有八个人，她注意到，掳走她的恶魔正好也是八个。
    “我们是提夫伦大人的部下。”陌生男人说，“你回家了，球女，先王之女，我们的女王。”","Teresa mở mắt ra và thấy mình đang ngồi trên một ngai vàng, xung quanh không một tiếng động.
Đây có phải là một cơn ác mộng khác? Cô ôm trán một cách yếu ớt. Trong trí nhớ mơ hồ, cô nhớ mang máng hình ảnh những con quỷ với đôi cánh khổng lồ đã bắt cóc cô.
""Người tỉnh rồi, Nữ hoàng của ta.” Dưới ngai vàng, một người đàn ông lạ mặt bước ra khỏi bóng tối và kính cẩn nói với Teresa.
""Nhưng ta ...Gì cơ? Nữ hoàng?” Teresa hốt hoảng thốt lên. Cô chưa bao giờ là nữ hoàng, chỉ là một người phụ nữ bình thường.
Cô nhớ rằng mình đã ở nhà McCartney, đợi chồng cô trở về. Hiro ... Lúc đó anh ấy đang dẫn đầu đội Sao Đỏ đi tuần hàng ngày ... Chồng cô luôn coi công việc quan trọng hơn gia đình.
Vì vậy, anh ấy đã không ở đó khi con quỷ tấn công anh ấy.
“Vâng, thưa Nữ hoàng,” một giọng nói khác vọng lên. Nhìn quanh một lượt, Teresa mới nhận ra rằng có rất nhiều người đang đứng trong bóng tối. Nhưng cô không biết bất kỳ ai trong số họ.
""Người tỉnh, nhưng người không tỉnh,"" họ nói, ""Bởi vì Người không nhớ bản thân là ai, thậm chí cả tên thật của Người.""
Teresa muốn đứng dậy, chạy khỏi ngai vàng và trở về nhà. Nhưng không hiểu sao, lời nói của những người đó lại khiến cô đau đầu không thể nhúc nhích nổi một tấc.
“Dậy đi!” Họ đồng thanh hét lên, bước lên bậc thềm của ngai vàng, và tập trung xung quanh Teresa.
Có tám người trong số họ, và cô nhận ra rằng những con quỷ đã bắt cóc cô tình cờ cũng có tám người.
""Chúng ta là thuộc hạ của Lãnh chúa Tifren,"" Một người lạ nói - ""Chào mừng Người đã về nhà, con gái của vị vua đầu tiên, nữ hoàng của chúng ta."""
高傲半人马,Nhân mã kiêu ngạo
你的信念果真坚硬如铁，苍雷圣者。在你的影响下，冥海鬼域或许真的能为之一变。,Niềm tin của ngươi cứng hơn sỏi đá. Quỷ Vực có lẽ sẽ thay đổi vì ngươi.
为确保公子献头计策的执行，师傅尚在国内的布局早已悄然开始……,"Để đảm bảo có thể thực hiện được kế hiến đầu đệ tử, sư phụ Rai sớm đã âm thầm sắp đặt trong nước..."
获得英雄以查看收录条件,Nhận tướng để xem điều kiện thu nạp
沙时守护,Sa Mạc Thủ Hộ
罗丝在试炼内攻击力和暴击率提升21%。,"Trong Thí Luyện, Athena tăng 21% tấn công và bạo kích."
史诗秘宝任选,Kho Báu Sử Thi Tự Chọn
需要{0}个{1}{2},Cần {0} cái {1}{2}
打开后，可以获得一套12星控制装备,Mở nhận 1 bộ trang bị Khống Chế 12 sao
踏青签到,Điểm Danh Tết Thanh Minh
技能1名字Ⅱ-友方加印记,Kỹ năng 1.2 - Tăng Ấn Ký đồng đội
精准兜帽,Mũ Chuẩn Xác
他们一般只会用两个字来形容我：赌怪！,"Ngươi rất tốt, nhưng ta rất tiếc!"
1、幽林迷阵总共15层，活动开启时，开启1-3层，并在每24小时后开启新的2层。<br/>2、在迷阵中可与任意水晶内的敌人进行战斗，战斗胜利后，将使提示范围内的水晶全部变为指定颜色。<br/>3、力量试炼中，必须上阵指定数量的力量英雄，战胜后水晶将变为红色；灵巧试炼中，必须上阵指定数量的敏捷英雄，战胜后水晶将变为绿色；智慧试炼中，必须上阵指定数量的智力英雄，战胜后水晶将变为蓝色。<br/>4、战斗胜利后，下一次战斗所改变的水晶范围将会发生变化。<br/>5、在战斗中，必须上阵5名英雄才可开始战斗。<br/>6、将每一层的水晶全部变为指定颜色，即可获得对应的宝箱奖励。<br/>7、可在任意时候重置冒险，重置该层。<br/>8、当已获得一层的奖励后，不可再进入该层。,"1. U Lâm Trận có tổng cộng 15 tầng. Bắt đầu sự kiện sẽ mở tầng 1-3, sau mỗi 24h mở thêm 2 tầng mới.<br/>2. Có thể chiến đấu với quân địch bất kỳ trong Thủy Tinh. Nếu khiêu chiến thắng lợi, toàn bộ Thủy Tinh trong phạm vi sẽ chuyển thành màu sắc chỉ định.<br/>3. Trong Thí Luyện Sức Mạnh, cần xuất trận tướng sức mạnh với số lượng chỉ định, chiến thắng sẽ chuyển Thủy Tinh thành màu đỏ. Trong Thí Luyện Nhanh Nhẹn, cần xuất trận tướng nhanh nhẹn với số lượng chỉ định, chiến thắng sẽ chuyển Thủy Tinh thành màu lục. Trong Thí Luyện Trí Lực, cần xuất trận tướng trí lực với số lượng chỉ định, chiến thắng sẽ chuyển Thủy Tinh thành màu lam.<br/>4. Sau khi thắng, phạm vi Thủy Tinh trong trận chiến tiếp theo sẽ thay đổi.<br/>5. Trong chiến đấu, cần xuất trận 4 tướng mới có thể chiến đấu.<br/>6. Thay đổi toàn bộ Thủy Tinh mỗi tầng thành màu chỉ định để nhận rương thưởng tương ứng.<br/>7. Có thể làm mới tiến độ bất cứ lúc nào.<br/>8. Khi đã nhận thưởng 1 tầng, bạn không thể vào lại tầng này."
故事,Cốt Truyện
技能2名字II-偷速,Kỹ năng 2.3 - Cướp tốc
真·阿布索伦,Thật·Bishop
[S250]天下第一帅,[S250] Thiên Hạ Đệ Nhất Soái
技能4等级I-加护盾,Kỹ năng 4 cấp 1 - Tăng hộ thuẫn
冒险信息,Thông tin thám hiểm
酒馆手动刷新,Làm mới Tửu Quán thủ công
正义,Chính Nghĩa
这一刻的想法...,Suy nghĩ khi đó…
崔克斯的情报,Tình báo Trix
3永茂3圣辉：所有己方英雄攻击时，30%概率使目标陷入【泥沼】，速度降低10%，不可驱散，不可叠加，持续2回合。,"3 hệ Mộc 3 hệ Kim: Khi tất cả đồng đội tấn công, có 30% tỉ lệ làm địch bị [Sa Lầy], giảm 10% tốc độ, không thể hóa giải và cộng dồn, kéo dài 2 lượt."
荣耀之主·冠军9次,Vô Địch Giải Đấu Vinh Diệu 9 Lần
高级强壮,Cường Tráng Cao
"焰岭≥4个,冥海≤1个","Hệ Hỏa ≥ 4, Hệ Thủy ≤ 1"
【连携】状态下时阿布索伦每次行动时，为生命比例最低的2个友方目标恢复阿布索伦5%最大生命值。,"Ở trạng thái [Liên Kết], Mỗi khi tấn công, Bishop sẽ hồi tối đa 5% HP bản thân cho 2 đồng minh có HP thấp nhất."
不知师父所为何事？,Không biết sư phụ đến vì chuyện gì?
强攻·11星·足具,Cường Công·11 Sao·Giày
技能4等级III-解除控制,Kỹ năng 4 cấp 3 - Giải trừ khống chế
监测水晶已发出紫光信号，带兵行动！可维多利亚没有意识到莉莉丝竟布下梦境陷阱……,"Tinh thể giám sát đã phát ra tín hiệu ánh sáng màu tím, hãy dẫn quân hành động! Nhưng Victoria không nhận ra rằng Lilith đã giăng một cái bẫy trong mơ ..."
灾厄之塔每通过5层，提升全体英雄22点攻击力与259点生命值(上限180次),Mỗi lần vượt 5 tầng Tai Ương Chi Tháp tăng 22 điểm tấn công và 259 điểm HP cho toàn bộ tướng (tối đa 180 lần)
剑心·龙影积分本6层,Kiếm Tâm·Long Ảnh Phiêu Lưu tầng 6
120万,120 vạn
灾厄之塔-逐焰之巅每通过2层，提升全体英雄16点攻击力与192点生命值(上限192次),Mỗi lần vượt 2 tầng Tai Ương Chi Tháp-Trục Diễm Đỉnh tăng 16 điểm tấn công và 192 điểm HP cho toàn bộ tướng (tối đa 192 lần)
"神器之力散落人间,可用于强化神器·复苏权杖",Cổ Thần Khí dùng cường hóa Thần Khí·Trượng Hồi Sinh
快！去往东门，那的防备最薄弱。,"Nhanh! đi đến cửa Đông, phòng thủ nơi đó yếu nhất."
席兹的贪婪之瞳,Bông Tai Shiz Tham Lam
162厘米,162 cm
系统暂未开放,Hệ thống chưa mở
死亡时有12.5%概率复活，复活后恢复35%生命值。,"Khi bị hạ gục, có 12.5% cơ hội hồi sinh, hồi 35% HP khi sống lại."
回合开始，降低所有英雄闪避25%,"Lượt đầu tiên, giảm 25% Né tránh toàn bộ tướng"
"这些赏金就作为对你的补偿吧,已经通过",Đống tiền thưởng này coi như đền bù cho ngươi
是的，丧服、竹笛都妥善如初。,"Đúng vậy, đồ tang, sáo trúc vẫn như cũ."
维多利亚碎片,Mảnh Victoria
初级清心,Thanh Tâm-Sơ
过去，荧戴上面具，是为了掩饰自己脸上的恐惧；如今，这只会让她的敌人们恐惧。,"Trong quá khứ, Stamira đeo một chiếc mặt nạ để che giấu nỗi sợ hãi trên khuôn mặt, giờ đây, nó chỉ khiến kẻ thù của cô sợ hãi."
异界禁魔录,Dị Giới Cấm Ma
【乘胜追击】造成的物理伤害提升至150%。,Tăng 150% sát thương vật lý của [Xông Lên]
累积充值,Tích nạp
人满自动开始挑战,Tự động khiêu chiến khi đủ người
托马的圣羽坠饰,Dây Chuyền Thánh Thomas
高速射击，攻击敌方前排目标，造成175%物理伤害，目标生命比例越高则伤害越高，最高提升20%伤害。,"Tấn công địch hàng trước, gây 175% sát thương vật lý, HP địch càng cao, gây càng nhiều sát thương, tối đa tăng 20% sát thương."
毒刃,Dao Độc
无尽,Bất Tận
技能2等级III-负面效果目标额外伤害,Kỹ năng 2 cấp 3 - Tăng sát thương cho tướng chịu hiệu ứng bất lợi
魔化茉赛拉,Jasmine Ma Hóa
下次购买花费:,Mua lần sau tiêu:
又称运动风筝，一般作为表演特技或者参加比赛使用。造价较高。,"Còn được gọi là diều thể thao, thường được sử dụng để biểu diễn kĩ thuật hoặc tham gia các cuộc thi. Giá thành khá đắt đỏ."
敏攻·8星·特装,Tấn Công·8 Sao·Trang Bị Đặc Biệt
神器沙漏吸引到了克罗可的到来，于此同时，暗穹的首脑死神也正在接近……,"Darek đã tới gần Thần Khí Đồng Hồ Cát, trong lúc đó thủ lĩnh Dark Vault là Dante cũng đang tiếp cận..."
千仞雪在试炼内攻击比，暴击率增加18%,"Trong thí luyện, tăng 18% tấn công và tỉ lệ bạo kích của Athena."
"    我越来越难压抑住这副躯体里的杀戮欲望了。尽管哈利卡一直对那药物的配方讳莫如深，但我怀疑他是用跟厄血症类似的力量治好了我。
    我跟那些被厄血症转化成怪物的同胞们太像了。
    脑海中再难组织起成片的想法，“杀”成为了我唯一的念想。我因此而变得沉默，尽管清楚地说话此时也成了难事。
    想必我的样子着实恐怖，昔日爱戴我的同僚们都远远地避开了我。就连那些人民也是如此，哪怕我曾救过他们的命。
    这样就好，我不想要任何人靠近我。我把越来越稀薄的理智，全部集中于听从大人的命令。
    我是厄咒缠身的鬼，是供大人驱使的剑。
    大人下令，剑鬼执行。","Càng ngày ta càng khó kìm nén ham muốn giết chóc trong cơ thể này. Mặc dù Cáp Lợi Tạp đã rất bí mật về công thức của loại thuốc, ta nghi ngờ rằng anh ta đã chữa khỏi cho ta bằng một sức mạnh tương tự như chứng ách huyết.
ta rất giống những người đồng hương của mình, những người đã bị biến thành quái vật do nhiễm độc ách huyết.
Thật khó để sắp xếp thành từng mảng trong suy nghĩ của ta, và ""giết"" đã trở thành suy nghĩ duy nhất của ta. Ta trở nên im lặng vì điều này, mặc dù rất khó để nói rõ ràng vào lúc này.
Có lẽ ta trông thực sự đáng sợ, và những đồng liêu yêu mến ta trước đây đều tránh mặt ta rất xa. Ngay cả những người dân đều như vậy, ngay cả khi ta đã cứu mạng họ.
Tốt thôi, ta không muốn ai ở gần ta. ta tập trung sự tỉnh táo ngày càng mỏng manh của mình vào việc tuân theo mệnh lệnh của đại nhan.
Ta là một con quỷ bị nguyền rủa, và là một thanh kiếm cho đại nhân sử dụng.
Đại nhân ra lệnh, quỷ kiếm nhận lệnh."
